"id","nct_id","name","removed"
38883418,"NCT00025857","United States",FALSE
38465574,"NCT00025987","United States",FALSE
38756556,"NCT00026052","United States",FALSE
38503605,"NCT00026078","Argentina",FALSE
38503606,"NCT00026078","Mexico",FALSE
38803429,"NCT00026117","United States",FALSE
38856582,"NCT00026247","United States",FALSE
38768199,"NCT00026286","United States",FALSE
38959428,"NCT00026377","United States",FALSE
38826035,"NCT00026442","United States",FALSE
38441249,"NCT00026637","United States",FALSE
38447542,"NCT00026650","United States",FALSE
38469680,"NCT00026754","United States",FALSE
38672489,"NCT00026819","United States",FALSE
38725767,"NCT00026832","United States",FALSE
38496215,"NCT00027014","United States",FALSE
38956488,"NCT00027105","United States",FALSE
38851858,"NCT00027118","United States",FALSE
38883535,"NCT00027157","United States",FALSE
38939738,"NCT00027326","United States",FALSE
38948047,"NCT00027378","United States",FALSE
38861238,"NCT00027482","United States",FALSE
39002292,"NCT00027534","United States",FALSE
38911037,"NCT00027599","United States",FALSE
38553407,"NCT00027781","Belgium",FALSE
38553408,"NCT00027781","France",FALSE
38553409,"NCT00027781","Germany",FALSE
38553410,"NCT00027781","Israel",FALSE
38553411,"NCT00027781","Spain",FALSE
38553412,"NCT00027781","Switzerland",FALSE
38761568,"NCT00027794","Belgium",FALSE
38761569,"NCT00027794","Italy",FALSE
38761570,"NCT00027794","Slovakia",FALSE
38715042,"NCT00027807","United States",FALSE
38765697,"NCT00027859","United States",FALSE
38849608,"NCT00027885","United States",FALSE
38508689,"NCT00027963","United States",FALSE
38508690,"NCT00027963","Canada",FALSE
39018474,"NCT00027989","United States",FALSE
39057424,"NCT00028197","United States",FALSE
38827840,"NCT00028249","United States",FALSE
38919756,"NCT00028340","United States",FALSE
39063812,"NCT00028405","United States",FALSE
38987136,"NCT00028483","United States",FALSE
38964854,"NCT00028574","United States",FALSE
38651936,"NCT00028639","United States",FALSE
38978136,"NCT00028704","Belgium",FALSE
38978137,"NCT00028704","Chile",FALSE
38978138,"NCT00028704","Israel",FALSE
38978139,"NCT00028704","Netherlands",FALSE
38978140,"NCT00028704","Poland",FALSE
38978141,"NCT00028704","Portugal",FALSE
38978142,"NCT00028704","United Kingdom",FALSE
38468484,"NCT00028769","United States",FALSE
38743206,"NCT00028873","Belgium",FALSE
38743207,"NCT00028873","France",FALSE
38662342,"NCT00028964","United States",FALSE
38785105,"NCT00028977","United States",FALSE
38580788,"NCT00028990","United States",FALSE
38580789,"NCT00028990","Canada",FALSE
38786657,"NCT00029029","United States",FALSE
38845120,"NCT00029068","United States",FALSE
38436898,"NCT00029120","United States",FALSE
39019932,"NCT00029146","United States",FALSE
38528265,"NCT00029224","United States",FALSE
38736070,"NCT00029263","United States",FALSE
38504496,"NCT00029276","United States",FALSE
38836597,"NCT00029302","United States",FALSE
