,nct_id,start_date,phase,year,BreastCancer,ProstateCancer,Stroke,HeartFailure,Pain,Obesity,Cancer,Depression,Hypertension,Anxiety,UnitedStates,Canada,China,France,Germany,UnitedKingdom,Korea,Italy,Spain,Turkey
7076,NCT04682275,2017/2/12,NA,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
7077,NCT04682431,2020/11/10,PHASE1,2020,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7078,NCT04683120,2021/12/15,NA,2021,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7079,NCT04683588,2021/1/19,NA,2021,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
7080,NCT04683679,2021/4/21,PHASE2,2021,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7081,NCT04683926,2021/1/8,PHASE1,2021,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7082,NCT04684095,2021/5/26,NA,2021,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
7083,NCT04684264,2021/3/3,NA,2021,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7084,NCT04684277,2021/9/1,NA,2021,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
7085,NCT04684589,2021/3/16,PHASE2,2021,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7086,NCT04684628,2020/12/9,PHASE3,2020,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7087,NCT04685486,2018/6/1,NA,2018,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7088,NCT04685551,2021/7/1,NA,2021,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
7089,NCT04685707,2021/9/1,NA,2021,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7090,NCT04686604,2021/7/7,NA,2021,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7091,NCT04687085,2020/12/21,NA,2020,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
7092,NCT04687956,2021/2/1,NA,2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7093,NCT04689529,2018/3/23,NA,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7094,NCT04689568,2021/1/27,NA,2021,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
